Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSOCUG00000009206	19	42431961	42435534
ENSOCUG00000029613	GL018752	1937394	1983063
ENSOCUG00000036117	1	161937549	161948501
ENSOCUG00000037662	AAGW02083905	3879	5185
ENSOCUG00000017232	12	27641791	27972291
ENSOCUG00000022852	GL018719	3882158	3883446
ENSOCUG00000013360	3	57567214	57600287
ENSOCUG00000023675	14	54807846	54807905
ENSOCUG00000027071	GL018772	1423980	1443716
ENSOCUG00000033931	GL019022	45741	46745
ENSOCUG00000031817	12	57979130	57980548
ENSOCUG00000030969	12	3349902	3580470
ENSOCUG00000022225	17	31503858	31504277
ENSOCUG00000039187	19	29615183	29615397
ENSOCUG00000008094	GL018706	278548	324782
ENSOCUG00000015299	X	105467441	105504846
ENSOCUG00000015523	1	95121867	95191058
ENSOCUG00000031761	3	47965373	48026932
ENSOCUG00000030989	14	98745100	98745160
ENSOCUG00000024374	17	40292569	40293504
ENSOCUG00000024050	AAGW02083912	1561	2189
ENSOCUG00000035677	1	52807974	52809767
ENSOCUG00000020991	GL018752	1980962	2000806
ENSOCUG00000021784	GL019360	49893	70294
ENSOCUG00000032924	19	29623572	29623786
ENSOCUG00000038374	14	110013446	110013763
ENSOCUG00000001432	4	37051255	37066964
ENSOCUG00000031769	GL019022	105933	106871
ENSOCUG00000021953	7	160224152	160224568
ENSOCUG00000026272	GL019817	11525	17751
ENSOCUG00000015369	2	112024687	112027048
ENSOCUG00000035612	14	28163253	28163521
ENSOCUG00000032331	GL018753	125450	129620
ENSOCUG00000002210	X	86528215	86528814
ENSOCUG00000031703	1	124205731	124205829
ENSOCUG00000016684	GL018719	3894621	3909845
ENSOCUG00000024157	GL018773	48089	48418
ENSOCUG00000010472	11	85304245	85352204
ENSOCUG00000021244	AAGW02083914	152	3085
ENSOCUG00000007725	GL018706	334451	356300
ENSOCUG00000026776	3	495930	496124
ENSOCUG00000023793	GL018866	94	20260
ENSOCUG00000008673	13	12438791	12447123
ENSOCUG00000028475	19	29627969	29628135
ENSOCUG00000025106	15	60214221	60215640
ENSOCUG00000011242	4	37089426	37090778
ENSOCUG00000011307	13	13361538	13407632
ENSOCUG00000034819	12	124269092	124269853
ENSOCUG00000030834	GL019022	143242	144222
ENSOCUG00000033045	GL019821	1797	3443
ENSOCUG00000034682	2	83825848	83830674
ENSOCUG00000026037	GL018826	820430	879823
ENSOCUG00000000206	7	160231717	160234459
ENSOCUG00000036300	3	47978154	48193456
ENSOCUG00000014169	GL018753	152336	190162
ENSOCUG00000030399	16	44502655	44709091
ENSOCUG00000031812	3	592906	593976
ENSOCUG00000022702	X	86531279	86532007
ENSOCUG00000022348	9	89192675	89434604
ENSOCUG00000039341	GL018773	186879	189014
ENSOCUG00000030898	2	168046974	168060647
ENSOCUG00000030236	AAGW02083957	2751	4202
ENSOCUG00000006355	2	46416433	46504684
ENSOCUG00000000573	5	22222310	22247009
ENSOCUG00000008255	GL018734	619964	635260
ENSOCUG00000033699	2	168413932	168470922
ENSOCUG00000016435	14	110078758	110086052
ENSOCUG00000031083	19	29634185	29634399
ENSOCUG00000033360	GL019022	271373	273912
ENSOCUG00000033011	12	124282173	124282330
ENSOCUG00000038813	9	30099509	30114615
ENSOCUG00000032165	17	42155977	42156459
ENSOCUG00000038291	GL019823	1825	13305
ENSOCUG00000002344	9	17724625	17732989
ENSOCUG00000001897	GL018866	24964	38570
ENSOCUG00000036373	GL018734	638934	639953
ENSOCUG00000016265	GL018753	198497	261761
ENSOCUG00000000297	2	121102329	121102996
ENSOCUG00000019218	14	54807984	54808062
ENSOCUG00000008635	13	127947972	128084797
ENSOCUG00000016425	3	177049	276847
ENSOCUG00000010326	GL018826	820430	824109
ENSOCUG00000021490	7	147466711	147542373
ENSOCUG00000030156	1	19156543	19157214
ENSOCUG00000032430	GL018773	248141	249220
ENSOCUG00000004340	11	85363420	85371305
ENSOCUG00000039109	GL019022	276195	277133
ENSOCUG00000027587	7	59502334	59502744
ENSOCUG00000022430	AAGW02084006	2339	3515
ENSOCUG00000013053	GL018927	236755	366652
ENSOCUG00000014717	X	69877434	69884113
ENSOCUG00000001071	17	40311781	40312827
ENSOCUG00000013186	GL018734	643385	644585
ENSOCUG00000038095	9	4636396	4651153
ENSOCUG00000037157	7	59542232	59554273
ENSOCUG00000026470	19	48320505	48338833
ENSOCUG00000033688	3	37854879	37855051
ENSOCUG00000032028	15	60420838	60495554
ENSOCUG00000028920	GL019824	1975	2085
ENSOCUG00000026027	GL018866	38516	41883
ENSOCUG00000030831	12	22815898	22821267
ENSOCUG00000014466	GL018826	894913	905356
ENSOCUG00000021407	5	27705583	27706044
ENSOCUG00000039345	GL019022	306065	307075
ENSOCUG00000036821	GL018734	646154	647332
ENSOCUG00000023399	1	124644197	124694556
ENSOCUG00000025905	1	72213384	72213490
ENSOCUG00000026876	1	188570860	188571944
ENSOCUG00000038060	12	22880473	22880633
ENSOCUG00000013081	GL018927	294940	299460
ENSOCUG00000033650	GL019829	6842	16745
ENSOCUG00000034034	GL018773	472524	478203
ENSOCUG00000023219	GL018751	2	14142
ENSOCUG00000033461	GL018826	905377	906480
ENSOCUG00000032554	5	10747639	10770440
ENSOCUG00000019260	15	36769627	36769706
ENSOCUG00000014208	19	42446151	42449835
ENSOCUG00000025465	17	40328358	40329284
ENSOCUG00000016324	21	12683714	12863358
ENSOCUG00000036474	GL019022	326830	327810
ENSOCUG00000005640	13	36776506	36777226
ENSOCUG00000034664	1	114268806	114270312
ENSOCUG00000038870	3	38236332	38383973
ENSOCUG00000017048	2	158776571	158776957
ENSOCUG00000027770	17	81241366	81241457
ENSOCUG00000033258	5	10880919	10888930
ENSOCUG00000037429	GL019832	3125	19878
ENSOCUG00000003669	GL019133	6167	11853
ENSOCUG00000030328	15	60610203	60614530
ENSOCUG00000011244	4	37101054	37123179
ENSOCUG00000017932	13	137307050	137309252
ENSOCUG00000030163	GL018827	50126	54991
ENSOCUG00000024065	GL018866	48042	72863
ENSOCUG00000013429	12	128830878	128989794
ENSOCUG00000006907	GL018699	269	2208
ENSOCUG00000025084	X	34930606	34939207
ENSOCUG00000031331	12	96658081	96775000
ENSOCUG00000017761	12	124320149	124322955
ENSOCUG00000004348	GL018773	478068	488281
ENSOCUG00000003178	GL018734	657101	719318
ENSOCUG00000032528	GL019836	8277	15856
ENSOCUG00000037355	3	56615213	56616884
ENSOCUG00000017931	13	137325312	137329379
ENSOCUG00000034107	5	10948605	10958316
ENSOCUG00000007361	1	183733238	183935714
ENSOCUG00000007339	4	27359655	28150951
ENSOCUG00000008743	GL019361	18602	70385
ENSOCUG00000033748	GL019836	15877	17658
ENSOCUG00000029909	GL018827	187830	188855
ENSOCUG00000035544	X	30569602	30575765
ENSOCUG00000014788	GL018751	37127	115502
ENSOCUG00000036571	13	80449202	80454042
ENSOCUG00000032582	12	22880841	22887933
ENSOCUG00000016488	GL019007	48316	76792
ENSOCUG00000036855	X	30937764	30938822
ENSOCUG00000025511	GL018734	661092	661151
ENSOCUG00000005975	2	94463936	94483701
ENSOCUG00000006897	GL018699	4926	19017
ENSOCUG00000017831	13	137360752	137361780
ENSOCUG00000033072	GL019133	12055	13251
ENSOCUG00000017841	21	3240595	3381974
ENSOCUG00000021449	7	59554642	59570672
ENSOCUG00000013079	19	42463290	42471348
ENSOCUG00000030012	1	106407844	106407961
ENSOCUG00000035854	X	86536206	86537318
ENSOCUG00000031846	GL018827	200391	202412
ENSOCUG00000028464	GL018751	90636	90740
ENSOCUG00000031294	14	54843455	54844666
ENSOCUG00000005427	7	148447141	148495215
ENSOCUG00000006111	12	38761693	38774380
ENSOCUG00000032260	1	93990092	93991018
ENSOCUG00000029259	GL018773	488140	630730
ENSOCUG00000035360	7	160242453	160243532
ENSOCUG00000029227	17	79398302	79399687
ENSOCUG00000021446	GL019838	2515	11390
ENSOCUG00000016861	GL018866	131053	151955
ENSOCUG00000004414	GL019007	130713	183665
ENSOCUG00000039245	GL018751	98321	99170
ENSOCUG00000008018	19	14702863	14760365
ENSOCUG00000032732	1	75882575	75900094
ENSOCUG00000027910	GL018827	259562	361431
ENSOCUG00000007774	19	19771625	19774623
ENSOCUG00000017226	X	33012209	33055010
ENSOCUG00000033788	12	38794476	38795346
ENSOCUG00000024089	GL018773	638451	639842
ENSOCUG00000018068	7	160243014	160243092
ENSOCUG00000011275	4	37124937	37128599
ENSOCUG00000021282	17	40337675	40338610
ENSOCUG00000025870	11	58233508	58366725
ENSOCUG00000033566	15	60752041	60754065
ENSOCUG00000007411	2	148947379	149055023
ENSOCUG00000031818	GL019839	10550	16258
ENSOCUG00000000427	16	66348190	66497236
ENSOCUG00000007987	9	19527881	19562629
ENSOCUG00000011789	12	96801228	96909282
ENSOCUG00000035048	GL019007	255199	256404
ENSOCUG00000015358	2	112032718	112035148
ENSOCUG00000013355	GL018734	725646	741670
ENSOCUG00000022732	X	33028297	33028704
ENSOCUG00000000299	13	138938032	138951620
ENSOCUG00000017262	GL018751	116918	119301
ENSOCUG00000018374	15	36769767	36769844
ENSOCUG00000025912	17	81242386	81242477
ENSOCUG00000036702	GL018773	660524	661156
ENSOCUG00000022172	GL018827	469328	469609
ENSOCUG00000036223	19	29649540	29649754
ENSOCUG00000017464	X	30959369	30959857
ENSOCUG00000002990	X	33058114	33061322
ENSOCUG00000028490	2	99906800	99906890
ENSOCUG00000030842	GL018773	722269	746867
ENSOCUG00000001271	GL019362	3769	45272
ENSOCUG00000007091	12	124394907	124432353
ENSOCUG00000006894	GL018699	20037	21583
ENSOCUG00000000966	GL019840	3490	10952
ENSOCUG00000019308	15	36769946	36770014
ENSOCUG00000033449	2	870786	874571
ENSOCUG00000006125	14	98968609	99000664
ENSOCUG00000035700	GL018751	125996	143605
ENSOCUG00000011915	3	38409832	38454696
ENSOCUG00000013039	GL018927	368250	395349
ENSOCUG00000019247	15	36770109	36770176
ENSOCUG00000036540	16	23197287	23218697
ENSOCUG00000030673	17	42178885	42181874
ENSOCUG00000016868	GL018866	167656	186906
ENSOCUG00000038826	GL019362	52732	53733
ENSOCUG00000034087	GL018751	131117	137164
ENSOCUG00000021933	1	156594934	156609735
ENSOCUG00000034432	16	23317704	23318867
ENSOCUG00000035413	GL019362	60188	61348
ENSOCUG00000009332	13	79866334	79889121
ENSOCUG00000003323	9	54931798	55137834
ENSOCUG00000035564	GL019840	13184	15981
ENSOCUG00000026574	GL019008	27909	36979
ENSOCUG00000028218	13	26147851	26159355
ENSOCUG00000002127	7	16929178	17042085
ENSOCUG00000011280	4	37128848	37134534
ENSOCUG00000025531	GL018827	478143	478763
ENSOCUG00000013337	GL018734	744170	816521
ENSOCUG00000016344	15	60770181	60772472
ENSOCUG00000014419	3	20229453	20271062
ENSOCUG00000016417	12	20964786	20966649
ENSOCUG00000032346	14	28288465	28289550
ENSOCUG00000039587	GL018751	139381	142574
ENSOCUG00000034811	GL018773	786175	787089
ENSOCUG00000030897	GL019008	59130	63289
ENSOCUG00000006888	GL018699	21625	27496
ENSOCUG00000037503	GL019840	13542	17756
ENSOCUG00000017097	GL018720	13949	35780
ENSOCUG00000008984	17	31565559	31567511
ENSOCUG00000009323	GL018866	201612	230223
ENSOCUG00000036124	GL018928	26802	28172
ENSOCUG00000005255	1	104208433	104234438
ENSOCUG00000017972	15	36770233	36770300
ENSOCUG00000031686	GL019840	19993	21126
ENSOCUG00000038956	GL018751	156843	158600
ENSOCUG00000032439	9	4640146	4651971
ENSOCUG00000024253	17	81246088	81246181
ENSOCUG00000005377	1	191608049	191651617
ENSOCUG00000022274	GL018827	562848	563489
ENSOCUG00000033551	12	38805893	38822513
ENSOCUG00000002357	9	17736816	17737767
ENSOCUG00000034113	GL018928	54229	55950
ENSOCUG00000020115	GL018866	211951	212076
ENSOCUG00000004412	5	27758802	27826292
ENSOCUG00000012416	20	23920896	24148779
ENSOCUG00000037732	GL018734	823627	827817
ENSOCUG00000028337	17	79398354	79398498
ENSOCUG00000001818	14	54920244	54985005
ENSOCUG00000029122	2	37924268	37929583
ENSOCUG00000031281	GL018773	825756	862753
ENSOCUG00000006091	2	168474033	168478939
ENSOCUG00000038277	3	598683	601695
ENSOCUG00000009775	19	29650137	29724369
ENSOCUG00000022969	GL019008	88179	99555
ENSOCUG00000014216	12	11395572	11585209
ENSOCUG00000010302	12	129197821	129214840
ENSOCUG00000029530	11	85375777	85395080
ENSOCUG00000032706	20	7689389	7690919
ENSOCUG00000017059	GL018866	250743	260371
ENSOCUG00000032797	GL018928	58663	60411
ENSOCUG00000021360	17	81249084	81249177
ENSOCUG00000017760	15	97110149	97152093
ENSOCUG00000025879	7	7861292	7885252
ENSOCUG00000007354	X	35020918	35157539
ENSOCUG00000020894	GL019843	3829	19007
ENSOCUG00000017499	13	65302901	65428075
ENSOCUG00000010506	7	147557898	147586071
ENSOCUG00000013431	1	122542062	122545546
ENSOCUG00000000208	7	160244290	160275973
ENSOCUG00000019458	15	44501676	44501783
ENSOCUG00000032743	5	11041937	11047707
ENSOCUG00000027964	17	81250698	81250791
ENSOCUG00000037862	GL018928	72354	73634
ENSOCUG00000023782	1	19163379	19168394
ENSOCUG00000023785	GL018734	833960	840308
ENSOCUG00000037855	GL019845	6617	8395
ENSOCUG00000010500	GL019363	34740	49147
ENSOCUG00000028052	14	28296132	28308485
ENSOCUG00000031524	1	135581472	135586853
ENSOCUG00000010479	GL018827	574800	592063
ENSOCUG00000019267	GL018928	73632	73701
ENSOCUG00000021619	GL018718	80963	82954
ENSOCUG00000012383	19	45630024	45651549
ENSOCUG00000013533	GL019133	22843	177486
ENSOCUG00000029998	GL018773	894273	894905
ENSOCUG00000019209	GL018928	74189	74264
ENSOCUG00000008420	GL018866	272549	287795
ENSOCUG00000025636	GL019008	224430	235045
ENSOCUG00000003326	2	914593	917850
ENSOCUG00000004508	17	40352760	40353731
ENSOCUG00000011955	1	99223238	99237769
ENSOCUG00000021030	X	5954562	5954668
ENSOCUG00000029161	8	11762789	12109305
ENSOCUG00000030978	GL018928	77602	82484
ENSOCUG00000032194	GL019364	28259	29338
ENSOCUG00000025836	GL018720	53713	55403
ENSOCUG00000029349	GL018773	1049713	1092982
ENSOCUG00000034368	1	94003340	94004415
ENSOCUG00000036512	1	161957355	161968518
ENSOCUG00000038753	11	8791043	9068588
ENSOCUG00000000148	3	605570	615514
ENSOCUG00000032694	5	35448631	35450403
ENSOCUG00000029980	GL018827	663349	664466
ENSOCUG00000010299	16	70038084	70048713
ENSOCUG00000014072	20	30596762	30597925
ENSOCUG00000016387	3	56693891	56708274
ENSOCUG00000011590	12	23619624	23626472
ENSOCUG00000025161	X	6707588	6707714
ENSOCUG00000007797	1	147270738	147284108
ENSOCUG00000030739	11	9179834	9219567
ENSOCUG00000029952	GL018773	1128526	1129677
ENSOCUG00000012490	13	10044760	10166443
ENSOCUG00000018035	X	30972910	30972972
ENSOCUG00000017035	2	158777603	158800089
ENSOCUG00000038224	11	9380101	9562943
ENSOCUG00000037726	5	11154751	11160938
ENSOCUG00000032929	GL019365	727	51923
ENSOCUG00000023313	1	32326469	32326600
ENSOCUG00000031614	GL018827	790923	791087
ENSOCUG00000016172	GL018699	38621	73354
ENSOCUG00000005563	14	78767908	78795057
ENSOCUG00000034812	7	105416155	105417208
ENSOCUG00000025996	GL019008	283880	295856
ENSOCUG00000035369	GL018773	1130578	1132401
ENSOCUG00000029790	11	9582685	9612082
ENSOCUG00000033656	GL018928	86007	93939
ENSOCUG00000033021	3	615535	616539
ENSOCUG00000031951	17	42186227	42197810
ENSOCUG00000036479	GL018827	817148	818194
ENSOCUG00000013123	19	42476434	42555383
ENSOCUG00000011167	GL018720	58648	108513
ENSOCUG00000034499	1	114274384	114276187
ENSOCUG00000001402	GL018706	364434	526132
ENSOCUG00000035033	11	10036788	10038356
ENSOCUG00000037513	2	37946861	37956797
ENSOCUG00000022844	7	105535714	105535820
ENSOCUG00000005431	7	148491426	148523014
ENSOCUG00000018869	14	110092530	110092635
ENSOCUG00000032819	13	118940715	118956645
ENSOCUG00000004536	14	81562942	81572685
ENSOCUG00000024112	GL019848	21	9801
ENSOCUG00000037168	GL018774	23572	39301
ENSOCUG00000032685	13	119034805	119035857
ENSOCUG00000038034	8	45373739	45383925
ENSOCUG00000021523	3	620986	621381
ENSOCUG00000010372	16	34641366	34715151
ENSOCUG00000019553	14	118871423	118871553
ENSOCUG00000022965	17	81253316	81253409
ENSOCUG00000037686	GL019366	3730	26428
ENSOCUG00000023438	1	52982548	52984269
ENSOCUG00000027568	X	6791858	6793452
ENSOCUG00000006948	GL018734	849270	899013
ENSOCUG00000017003	2	121177118	121212010
ENSOCUG00000036806	GL019366	7628	8824
ENSOCUG00000011288	4	37134755	37144916
ENSOCUG00000028605	GL018718	104208	104339
ENSOCUG00000033481	2	927061	929184
ENSOCUG00000018016	X	30973559	30973651
ENSOCUG00000004917	7	59581180	59602379
ENSOCUG00000012628	GL019009	50539	59212
ENSOCUG00000022227	GL019848	10095	14025
ENSOCUG00000007057	15	36781226	36876953
ENSOCUG00000034894	2	90731551	90733841
ENSOCUG00000039177	3	622932	630433
ENSOCUG00000031811	GL019009	59725	61366
ENSOCUG00000024886	GL018828	8288	33894
ENSOCUG00000031156	X	7080403	7093476
ENSOCUG00000004918	GL018699	120626	165511
ENSOCUG00000036321	1	32334750	32335319
ENSOCUG00000022001	17	40386843	40388117
ENSOCUG00000005948	17	20907044	21082852
ENSOCUG00000021140	GL019366	29088	57735
ENSOCUG00000002292	GL018866	288333	476887
ENSOCUG00000024849	19	40688776	40728073
ENSOCUG00000011875	GL018734	889396	894857
ENSOCUG00000025990	GL018828	36887	42473
ENSOCUG00000009353	GL018928	94866	160270
ENSOCUG00000019523	3	623236	623372
ENSOCUG00000008221	GL018718	433805	530670
ENSOCUG00000032299	1	124721442	124755573
ENSOCUG00000023054	17	81255971	81256064
ENSOCUG00000034558	GL019367	5913	7352
ENSOCUG00000028534	GL019009	60209	60482
ENSOCUG00000020446	GL018720	104640	104746
ENSOCUG00000003811	4	37151333	37159287
ENSOCUG00000009850	9	64721594	64771157
ENSOCUG00000034676	GL019009	70625	72068
ENSOCUG00000029934	GL019367	14420	15670
ENSOCUG00000005711	11	10157037	10191434
ENSOCUG00000010623	GL019849	5301	7838
ENSOCUG00000024761	2	37987102	37992804
ENSOCUG00000031187	GL018828	59563	62451
ENSOCUG00000003221	GL018774	45744	172523
ENSOCUG00000015013	7	148596258	148634801
ENSOCUG00000017323	8	45506565	45508622
ENSOCUG00000009273	3	633512	693197
ENSOCUG00000012918	9	30262224	30619310
ENSOCUG00000023405	X	31196228	31196812
ENSOCUG00000021293	X	69922523	69958902
ENSOCUG00000016754	GL018928	166345	169881
ENSOCUG00000032810	2	957739	957882
ENSOCUG00000003793	14	28404074	28411787
ENSOCUG00000024420	17	54359576	54359739
ENSOCUG00000002305	GL018866	356640	359086
ENSOCUG00000010462	GL018751	176125	241539
ENSOCUG00000004273	12	41726957	41784183
ENSOCUG00000026308	GL018828	86170	87939
ENSOCUG00000037894	GL018774	211273	212387
ENSOCUG00000038868	3	688707	689163
ENSOCUG00000008020	13	137448839	137522792
ENSOCUG00000025539	17	54362331	54362494
ENSOCUG00000006972	1	106545358	106546559
ENSOCUG00000002360	9	17738583	17743296
ENSOCUG00000000227	13	129742978	129793057
ENSOCUG00000021908	15	44577810	44578761
ENSOCUG00000035648	2	90733190	90736709
ENSOCUG00000003175	14	110102943	110115240
ENSOCUG00000022661	16	53185678	53228741
ENSOCUG00000025809	1	190548020	190554265
ENSOCUG00000007773	19	19782687	19786003
ENSOCUG00000016393	3	67563135	67667406
ENSOCUG00000006941	GL018734	907542	918901
ENSOCUG00000038971	X	33129597	33130328
ENSOCUG00000026834	17	54371379	54371542
ENSOCUG00000029586	13	132836204	132848362
ENSOCUG00000004878	12	74394917	74466812
ENSOCUG00000030096	1	68020863	68021154
ENSOCUG00000029212	GL018928	187674	294501
ENSOCUG00000014953	GL019009	73531	157214
ENSOCUG00000003042	GL019134	21	29089
ENSOCUG00000029440	20	7702537	7748156
ENSOCUG00000000080	GL018706	4439514	4510303
ENSOCUG00000022704	19	45657037	45669772
ENSOCUG00000034446	9	55435601	55444453
ENSOCUG00000026448	15	44578309	44578740
ENSOCUG00000034180	2	99941388	99942363
ENSOCUG00000000024	5	35462097	35487659
ENSOCUG00000033376	GL018706	4510416	4511522
ENSOCUG00000038827	GL018751	1650472	1652037
ENSOCUG00000006938	GL018734	921040	922649
ENSOCUG00000035540	2	168553976	168556545
ENSOCUG00000037669	GL019009	202923	218605
ENSOCUG00000027916	7	148646753	148648516
ENSOCUG00000036589	20	23971141	23971704
ENSOCUG00000003213	GL018774	218740	253975
ENSOCUG00000012504	7	130144918	130159454
ENSOCUG00000001695	1	79589090	79595548
ENSOCUG00000000371	GL018928	188268	205181
ENSOCUG00000037821	15	44618493	44619597
ENSOCUG00000015545	GL019367	43205	58714
ENSOCUG00000016487	12	22889512	22929154
ENSOCUG00000004147	4	37189666	37226242
ENSOCUG00000033801	GL018699	168762	201460
ENSOCUG00000036098	GL019332	7631	21385
ENSOCUG00000034503	GL019010	60486	62922
ENSOCUG00000017245	GL018866	476703	574699
ENSOCUG00000037465	2	168734794	168788358
ENSOCUG00000022444	X	31213205	31214837
ENSOCUG00000030451	GL019134	31242	32952
ENSOCUG00000026395	GL018751	1793917	1795277
ENSOCUG00000024459	GL018699	182657	182791
ENSOCUG00000007968	16	23450713	23457922
ENSOCUG00000001607	GL018828	100621	159761
ENSOCUG00000038980	GL019010	90317	91342
ENSOCUG00000003638	17	79487698	79720557
ENSOCUG00000031770	GL018751	1796714	1800102
ENSOCUG00000028068	1	32348955	32349542
ENSOCUG00000035890	GL019333	38227	39234
ENSOCUG00000020103	20	24126807	24126950
ENSOCUG00000013432	9	4694891	4737440
ENSOCUG00000007275	GL018734	944789	952680
ENSOCUG00000007095	12	124436115	124495494
ENSOCUG00000034103	GL019134	33144	34731
ENSOCUG00000036167	7	148707953	148708850
ENSOCUG00000038407	16	53222541	53226368
ENSOCUG00000014245	GL018866	599319	610838
ENSOCUG00000005623	7	105663854	105768147
ENSOCUG00000035836	GL018751	1797752	1798969
ENSOCUG00000022195	GL018828	112904	115986
ENSOCUG00000036252	1	193396702	193398744
ENSOCUG00000011110	14	118902037	118919214
ENSOCUG00000001196	1	107077547	107078197
ENSOCUG00000038033	16	53278923	53283178
ENSOCUG00000025676	17	40410294	40411217
ENSOCUG00000037460	GL018751	1805591	1806629
ENSOCUG00000021714	1	32363360	32363947
ENSOCUG00000035627	GL019010	118021	181934
